news_sentence,sentiment_analysis
Barclays sells benchmark indices unit to Bloomberg,"[{'label': 'NEGATIVE', 'score': 0.6803679466247559}]"
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...","[{'label': 'NEGATIVE', 'score': 0.9991251826286316}]"
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...","[{'label': 'NEGATIVE', 'score': 0.9991251826286316}]"
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...","[{'label': 'NEGATIVE', 'score': 0.9991251826286316}]"
"EU drops Shell, BP, Statoil from ethanol benchmark investigation","[{'label': 'NEGATIVE', 'score': 0.9426442384719849}]"
"EU drops Shell, BP, Statoil from ethanol benchmark investigation","[{'label': 'NEGATIVE', 'score': 0.9426442384719849}]"
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,"[{'label': 'POSITIVE', 'score': 0.9811365008354187}]"
Shell and BG Shareholders to Vote on Deal at End of January,"[{'label': 'POSITIVE', 'score': 0.9690747857093811}]"
AstraZeneca chases Acerta to secure next cancer drug winner,"[{'label': 'NEGATIVE', 'score': 0.7384767532348633}]"
CompaniesTesco off to a bad start over Xmas â€“ Kantar,"[{'label': 'NEGATIVE', 'score': 0.999794065952301}]"
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...","[{'label': 'POSITIVE', 'score': 0.9964982271194458}]"
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,"[{'label': 'POSITIVE', 'score': 0.9968628883361816}]"
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,"[{'label': 'NEGATIVE', 'score': 0.9740116596221924}]"
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,"[{'label': 'NEGATIVE', 'score': 0.9957118034362793}]"
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,"[{'label': 'NEGATIVE', 'score': 0.9957118034362793}]"
Glencore Studies Possible IPO for Agricultural Trading Business,"[{'label': 'POSITIVE', 'score': 0.6416723132133484}]"
Can Christmas Save Sainsbury's plc And Tesco plc?,"[{'label': 'NEGATIVE', 'score': 0.9968211650848389}]"
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,"[{'label': 'NEGATIVE', 'score': 0.9651039242744446}]"
Bilfinger Industrial Services win Â£100m BP contract extension,"[{'label': 'NEGATIVE', 'score': 0.5957313179969788}]"
"Standard Chartered, RBS Escape Capital Raising in Stress Test","[{'label': 'NEGATIVE', 'score': 0.9857204556465149}]"
"Standard Chartered, RBS Escape Capital Raising in Stress Test","[{'label': 'NEGATIVE', 'score': 0.9857204556465149}]"
AstraZeneca weighing up Acerta bid to secure blood cancer drug,"[{'label': 'NEGATIVE', 'score': 0.9823622107505798}]"
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,"[{'label': 'NEGATIVE', 'score': 0.9854894280433655}]"
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,"[{'label': 'POSITIVE', 'score': 0.5278843641281128}]"
L&G completes UK's largest medically underwritten bulk pension risk deal,"[{'label': 'POSITIVE', 'score': 0.6833477020263672}]"
Meggitt share price tumbles as profit falls in 'challenging year',"[{'label': 'NEGATIVE', 'score': 0.9992794394493103}]"
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,"[{'label': 'NEGATIVE', 'score': 0.9906448125839233}]"
Kingfisher share price slides on cost to implement new strategy,"[{'label': 'NEGATIVE', 'score': 0.9824348092079163}]"
Shire says internal synergy goals from Baxalta deal higher,"[{'label': 'POSITIVE', 'score': 0.9859651327133179}]"
"European shares plunge, roiled by BHP and oil; hopes turn to ECB","[{'label': 'NEGATIVE', 'score': 0.9878000020980835}]"
Morrisons and Debenhams surprise City with Christmas bounce back,"[{'label': 'POSITIVE', 'score': 0.9998093247413635}]"
Morrisons and Debenhams surprise City with Christmas bounce back,"[{'label': 'POSITIVE', 'score': 0.9998093247413635}]"
"Britain's FTSE falls back with Ashtead, commodities under pressure","[{'label': 'NEGATIVE', 'score': 0.9985727071762085}]"
Tesco shares jump 6% after Christmas sales beat expectations,"[{'label': 'POSITIVE', 'score': 0.8330625891685486}]"
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up","[{'label': 'POSITIVE', 'score': 0.9910647869110107}]"
CompaniesHome Retail trims gains but is considered 'in play',"[{'label': 'POSITIVE', 'score': 0.9540729522705078}]"
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,"[{'label': 'NEGATIVE', 'score': 0.9698166847229004}]"
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,"[{'label': 'NEGATIVE', 'score': 0.9698166847229004}]"
Investors Remain Skeptical About Shell-BG Deal,"[{'label': 'NEGATIVE', 'score': 0.9881876111030579}]"
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,"[{'label': 'NEGATIVE', 'score': 0.6036351919174194}]"
Shire share price under pressure after $32bn Baxalta deal,"[{'label': 'NEGATIVE', 'score': 0.9939079284667969}]"
Shire share price under pressure after $32bn Baxalta deal,"[{'label': 'NEGATIVE', 'score': 0.9939079284667969}]"
Valeant Names Interim Leader as CEO Remains Hospitalized,"[{'label': 'NEGATIVE', 'score': 0.9975661039352417}]"
Valeant Said to Name New CEO With Pearson Still Hospitalized,"[{'label': 'NEGATIVE', 'score': 0.9957728981971741}]"
Shares in BAE Systems hit 10-month high on rating upgrade,"[{'label': 'NEGATIVE', 'score': 0.9800441861152649}]"
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,"[{'label': 'NEGATIVE', 'score': 0.9738680124282837}]"
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,"[{'label': 'NEGATIVE', 'score': 0.769200325012207}]"
CompaniesDixons Carphone to close 134 UK stores as sales jump,"[{'label': 'NEGATIVE', 'score': 0.9647165536880493}]"
"Broker tips: RBS, Croda, Sage","[{'label': 'NEGATIVE', 'score': 0.8939499258995056}]"
"Broker tips: RBS, Croda, Sage","[{'label': 'NEGATIVE', 'score': 0.8939499258995056}]"
Shell share price: Standard Life announce position against BG acquisition,"[{'label': 'NEGATIVE', 'score': 0.9851135015487671}]"
Shell share price: Standard Life announce position against BG acquisition,"[{'label': 'NEGATIVE', 'score': 0.9851135015487671}]"
Tesco share price down as grocer faces SFO investigation outcome,"[{'label': 'NEGATIVE', 'score': 0.9993608593940735}]"
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise","[{'label': 'POSITIVE', 'score': 0.9833200573921204}]"
Greene King's third quarter sales boosted by festive season,"[{'label': 'POSITIVE', 'score': 0.9995096921920776}]"
ARM Royalties Accelerate as Smartphone Market Regains Strength,"[{'label': 'NEGATIVE', 'score': 0.9907113909721375}]"
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,"[{'label': 'POSITIVE', 'score': 0.9986057877540588}]"
InterContinental Hotels Group share price climbs on $1.5bn special dividend,"[{'label': 'NEGATIVE', 'score': 0.9623770713806152}]"
Amazon to attack UK grocery market with Morrisons deal,"[{'label': 'NEGATIVE', 'score': 0.9929680228233337}]"
AstraZeneca share price: Acerta deal pays off with orphan drug status,"[{'label': 'NEGATIVE', 'score': 0.9742676615715027}]"
"BHP Billiton posts big loss, slashes dividend","[{'label': 'NEGATIVE', 'score': 0.9972902536392212}]"
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,"[{'label': 'NEGATIVE', 'score': 0.7212353944778442}]"
BG Group appoints new CEO one month early,"[{'label': 'POSITIVE', 'score': 0.9581427574157715}]"
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?","[{'label': 'NEGATIVE', 'score': 0.9982395172119141}]"
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?","[{'label': 'NEGATIVE', 'score': 0.9982395172119141}]"
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,"[{'label': 'NEGATIVE', 'score': 0.9989026784896851}]"
BHP Billiton drags FTSE lower after slashing dividend,"[{'label': 'NEGATIVE', 'score': 0.99965500831604}]"
"BHP Billiton slashes dividend, posts $5.67 billion net loss","[{'label': 'NEGATIVE', 'score': 0.9994194507598877}]"
CompaniesMeggitt profits hit by weak energy and military markets,"[{'label': 'NEGATIVE', 'score': 0.998484194278717}]"
Royal Mail share price edges lower as group raises stamp price,"[{'label': 'NEGATIVE', 'score': 0.9949378967285156}]"
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin","[{'label': 'NEGATIVE', 'score': 0.9971996545791626}]"
GlaxoSmithKline starts hunt for successor to CEO Witty,"[{'label': 'NEGATIVE', 'score': 0.9571048021316528}]"
"Rio Tinto swings to loss, drops dividend policy","[{'label': 'NEGATIVE', 'score': 0.9979549646377563}]"
France raises concerns over proposed LSE-Deutsche Boerse deal,"[{'label': 'NEGATIVE', 'score': 0.8865155577659607}]"
MarketsBP promotes upstream boss to deputy CEO,"[{'label': 'POSITIVE', 'score': 0.9894887804985046}]"
Legal & General share price: Finance chief to step down,"[{'label': 'NEGATIVE', 'score': 0.9981828331947327}]"
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,"[{'label': 'NEGATIVE', 'score': 0.9779807329177856}]"
Arm profits and sales up as shift away from mobile gains pace,"[{'label': 'POSITIVE', 'score': 0.8750433325767517}]"
Barclays appoints JPMorgan's Paul Compton as new COO,"[{'label': 'POSITIVE', 'score': 0.9918335676193237}]"
Barclays appoints JPMorgan's Paul Compton as new COO,"[{'label': 'POSITIVE', 'score': 0.9918335676193237}]"
U.S. Debt Lures Schroders as ECB Depresses Rates,"[{'label': 'NEGATIVE', 'score': 0.9851736426353455}]"
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...","[{'label': 'NEGATIVE', 'score': 0.9954081177711487}]"
NYSE owner ICE considers offer for LSE,"[{'label': 'NEGATIVE', 'score': 0.6334713101387024}]"
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,"[{'label': 'POSITIVE', 'score': 0.9892750382423401}]"
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,"[{'label': 'POSITIVE', 'score': 0.9892750382423401}]"
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),"[{'label': 'NEGATIVE', 'score': 0.9965111613273621}]"
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),"[{'label': 'NEGATIVE', 'score': 0.9965111613273621}]"
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),"[{'label': 'NEGATIVE', 'score': 0.9965111613273621}]"
Intertek swings to Â£347 mln loss on oil's slump,"[{'label': 'NEGATIVE', 'score': 0.9994243383407593}]"
Sanofi poaches AstraZeneca scientist as new research head,"[{'label': 'NEGATIVE', 'score': 0.9632579684257507}]"
Tesco breaks its downward slide by cutting sales decline in half,"[{'label': 'NEGATIVE', 'score': 0.9982965588569641}]"
"News FeedSchroders books solid earnings growth, several board changes","[{'label': 'POSITIVE', 'score': 0.9995692372322083}]"
Intertek Group announces strategic update outlining its plan,"[{'label': 'POSITIVE', 'score': 0.9816676378250122}]"
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,"[{'label': 'NEGATIVE', 'score': 0.9679632782936096}]"
Tullow Oil Suspends Dividend Amid Oil Price Fall,"[{'label': 'NEGATIVE', 'score': 0.9980030655860901}]"
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,"[{'label': 'NEGATIVE', 'score': 0.9968256950378418}]"
AB InBev to Sell SABMiller Stake in China's Snow Beer,"[{'label': 'NEGATIVE', 'score': 0.9806399345397949}]"
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,"[{'label': 'NEGATIVE', 'score': 0.9236903190612793}]"
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,"[{'label': 'NEGATIVE', 'score': 0.9966392517089844}]"
Industry NewsWolseley confident in reslilience amid mixed markets,"[{'label': 'POSITIVE', 'score': 0.9992504715919495}]"
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,"[{'label': 'NEGATIVE', 'score': 0.9995958209037781}]"
FTSE edges up as investors cheer Kingfisher results,"[{'label': 'POSITIVE', 'score': 0.9515344500541687}]"
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,"[{'label': 'POSITIVE', 'score': 0.9906889200210571}]"
Britain's FTSE gets lift from Prudential results,"[{'label': 'POSITIVE', 'score': 0.9982934594154358}]"
Amazon's grocery deal with Morrisons is only the beginning,"[{'label': 'NEGATIVE', 'score': 0.9834560751914978}]"
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...","[{'label': 'NEGATIVE', 'score': 0.9994626641273499}]"
ICE Said to Start Lining Up Financing for LSE Bidding War,"[{'label': 'POSITIVE', 'score': 0.6300702691078186}]"
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack","[{'label': 'NEGATIVE', 'score': 0.9963458180427551}]"
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,"[{'label': 'POSITIVE', 'score': 0.5360937118530273}]"
Aviva weighs cash handout after beating profit forecast,"[{'label': 'NEGATIVE', 'score': 0.5191985964775085}]"
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth","[{'label': 'POSITIVE', 'score': 0.9998321533203125}]"
"Saudi Aramco, Shell plan to break up Motiva, divide up assets","[{'label': 'NEGATIVE', 'score': 0.9693852066993713}]"
"Saudi Aramco, Shell plan to break up Motiva, divide up assets","[{'label': 'NEGATIVE', 'score': 0.9693852066993713}]"
AB InBev to sell more SAB assets as seeks EU deal approval,"[{'label': 'NEGATIVE', 'score': 0.9953290224075317}]"
Tesco's Sales Pickup Isn't Enough,"[{'label': 'NEGATIVE', 'score': 0.9990418553352356}]"
Spain's CaixaBank Expects To Close Deal For Banco BPI,"[{'label': 'NEGATIVE', 'score': 0.9942162036895752}]"
ITV share price: Group mulls takeover of Canada's Entertainment One,"[{'label': 'NEGATIVE', 'score': 0.9685459136962891}]"
Entertainment One dispels ITV takeover rumours,"[{'label': 'NEGATIVE', 'score': 0.9952646493911743}]"
Entertainment One dispels ITV takeover rumours,"[{'label': 'NEGATIVE', 'score': 0.9952646493911743}]"
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,"[{'label': 'NEGATIVE', 'score': 0.9610633850097656}]"
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,"[{'label': 'NEGATIVE', 'score': 0.9610633850097656}]"
Tata Steel working with StanChart for UK unit sale - source,"[{'label': 'NEGATIVE', 'score': 0.9434189796447754}]"
Tata Steel working with StanChart for UK unit sale - source,"[{'label': 'NEGATIVE', 'score': 0.9434189796447754}]"
Crown Castle buys Tower Development Corp for $461 million,"[{'label': 'NEGATIVE', 'score': 0.7772901058197021}]"
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,"[{'label': 'NEGATIVE', 'score': 0.9830118417739868}]"
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,"[{'label': 'NEGATIVE', 'score': 0.9830118417739868}]"
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure","[{'label': 'POSITIVE', 'score': 0.6448290348052979}]"
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure","[{'label': 'NEGATIVE', 'score': 0.9686700701713562}]"
Spain's Caixabank launches new takeover bid for Banco BPI,"[{'label': 'NEGATIVE', 'score': 0.9631571173667908}]"
"Despite sales growth, UK's Tesco cautions recovery to be bumpy","[{'label': 'NEGATIVE', 'score': 0.9977543950080872}]"
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,"[{'label': 'NEGATIVE', 'score': 0.648125171661377}]"
Shire Sees Baxalta Deal Closing as Expected After New Rules,"[{'label': 'NEGATIVE', 'score': 0.9952398538589478}]"
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong","[{'label': 'POSITIVE', 'score': 0.7460801005363464}]"
Tesco share price steady as analysts weigh in on results,"[{'label': 'POSITIVE', 'score': 0.9895418882369995}]"
Standard Chartered lags on capital worries,"[{'label': 'NEGATIVE', 'score': 0.9991436004638672}]"
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,"[{'label': 'NEGATIVE', 'score': 0.9703661799430847}]"
Should You Follow Berkshire Hathaway Into Apple Stock?,"[{'label': 'NEGATIVE', 'score': 0.9974743723869324}]"
Morrisons book second consecutive quarter of sales growth,"[{'label': 'POSITIVE', 'score': 0.7853403091430664}]"
Royal Mail gets mixed bag from Ofcom postal regulation report,"[{'label': 'NEGATIVE', 'score': 0.9935227632522583}]"
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,"[{'label': 'NEGATIVE', 'score': 0.9933579564094543}]"
Standard Life share price: Insurer buys advice firm Pearson Jones,"[{'label': 'NEGATIVE', 'score': 0.9749056696891785}]"
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal","[{'label': 'NEGATIVE', 'score': 0.9021701216697693}]"
Retail giant Kingfisher reports 'solid' start to the year,"[{'label': 'POSITIVE', 'score': 0.9998487234115601}]"
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,"[{'label': 'POSITIVE', 'score': 0.9993588328361511}]"
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,"[{'label': 'POSITIVE', 'score': 0.9993588328361511}]"
"Berkshire discloses unit's ties to Iran, opens probe","[{'label': 'POSITIVE', 'score': 0.9174822568893433}]"
Berkshire Hathaway names Kara Raiguel to lead General Re unit,"[{'label': 'POSITIVE', 'score': 0.9777992367744446}]"
"European stocks hover near 3-week low, Dialog and BHP slump","[{'label': 'NEGATIVE', 'score': 0.9996726512908936}]"
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,"[{'label': 'NEGATIVE', 'score': 0.9987461566925049}]"
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,"[{'label': 'POSITIVE', 'score': 0.9970728158950806}]"
Australia clears AB Inbev's $100 billion SABMiller buyout plan,"[{'label': 'POSITIVE', 'score': 0.9058749675750732}]"
Goodwin not to face Scottish prosecution over RBS,"[{'label': 'NEGATIVE', 'score': 0.5943061709403992}]"
Royal Mail turnaround proving expensive in tough UK market,"[{'label': 'NEGATIVE', 'score': 0.9847829937934875}]"
Whitbread buys 49% stake in Pure food chain,"[{'label': 'POSITIVE', 'score': 0.9795388579368591}]"
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears","[{'label': 'NEGATIVE', 'score': 0.9867107272148132}]"
Royal Mail share price rallies amid positive broker comments,"[{'label': 'POSITIVE', 'score': 0.9873505234718323}]"
InterContinental Hotels first-quarter global room revenue lags estimates,"[{'label': 'NEGATIVE', 'score': 0.9958678483963013}]"
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,"[{'label': 'NEGATIVE', 'score': 0.9565926790237427}]"
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,"[{'label': 'NEGATIVE', 'score': 0.9886701107025146}]"
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,"[{'label': 'POSITIVE', 'score': 0.8967011570930481}]"
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,"[{'label': 'POSITIVE', 'score': 0.8967011570930481}]"
BP joins forces with Det Norske in Norway,"[{'label': 'POSITIVE', 'score': 0.9457107782363892}]"
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,"[{'label': 'NEGATIVE', 'score': 0.8763394951820374}]"
Johnson Matthey revs up on clean air drive,"[{'label': 'POSITIVE', 'score': 0.9869809746742249}]"
RBS will reportedly appoint Howard Davies as its next chairman,"[{'label': 'POSITIVE', 'score': 0.8782268762588501}]"
"Goldman Sachs, Barclays, HSBC downplay Brexit threat","[{'label': 'NEGATIVE', 'score': 0.9717385768890381}]"
"Goldman Sachs, Barclays, HSBC downplay Brexit threat","[{'label': 'NEGATIVE', 'score': 0.9717385768890381}]"
"Goldman Sachs, Barclays, HSBC downplay Brexit threat","[{'label': 'NEGATIVE', 'score': 0.9717385768890381}]"
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,"[{'label': 'POSITIVE', 'score': 0.9870238304138184}]"
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,"[{'label': 'POSITIVE', 'score': 0.9870238304138184}]"
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,"[{'label': 'NEGATIVE', 'score': 0.9942588806152344}]"
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,"[{'label': 'NEGATIVE', 'score': 0.9942588806152344}]"
HSBC Hit by Fresh Details of Tax Evasion Claims,"[{'label': 'NEGATIVE', 'score': 0.9405832886695862}]"
Tesco sales recover as focus returns to core business,"[{'label': 'NEGATIVE', 'score': 0.9795881509780884}]"
Johnson Matthey profit falls but dividend rises,"[{'label': 'NEGATIVE', 'score': 0.9004531502723694}]"
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?","[{'label': 'NEGATIVE', 'score': 0.9971852898597717}]"
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?","[{'label': 'NEGATIVE', 'score': 0.9971852898597717}]"
Priceline's stock jumps to new high for the year after Barclays upgrade,"[{'label': 'POSITIVE', 'score': 0.9907044768333435}]"
"Tesco set to sell Kipa, Giraffe businesses - Sky News","[{'label': 'NEGATIVE', 'score': 0.9905194044113159}]"
"Tesco set to sell Kipa, Giraffe businesses - Sky News","[{'label': 'NEGATIVE', 'score': 0.9905194044113159}]"
Relief for Lewis as Tesco sees sales grow for first time in a year,"[{'label': 'POSITIVE', 'score': 0.9995423555374146}]"
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,"[{'label': 'NEGATIVE', 'score': 0.9244064688682556}]"
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,"[{'label': 'NEGATIVE', 'score': 0.9244064688682556}]"
HSBC Says Unit to Book $585 Million Charge on Settlement,"[{'label': 'NEGATIVE', 'score': 0.9779011011123657}]"
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts","[{'label': 'POSITIVE', 'score': 0.9966901540756226}]"
Aviva promises higher dividends to boost flagging share price,"[{'label': 'POSITIVE', 'score': 0.5598840117454529}]"
CompaniesFresnillo shares jump 8% as silver price breaks $21,"[{'label': 'NEGATIVE', 'score': 0.9847032427787781}]"
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?","[{'label': 'NEGATIVE', 'score': 0.9965963959693909}]"
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?","[{'label': 'NEGATIVE', 'score': 0.9965963959693909}]"
Berkshire seeks to boost its Wells Fargo stake above 10 percent,"[{'label': 'NEGATIVE', 'score': 0.9871314764022827}]"
Tesco share price tumbles after negative broker note,"[{'label': 'NEGATIVE', 'score': 0.9996076226234436}]"
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,"[{'label': 'POSITIVE', 'score': 0.7743373513221741}]"
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,"[{'label': 'POSITIVE', 'score': 0.7612605690956116}]"
Berkshire applies to boost Wells Fargo stake above 10 percent,"[{'label': 'POSITIVE', 'score': 0.9490697979927063}]"
"Aviva, M&G suspend property funds as investors panic","[{'label': 'NEGATIVE', 'score': 0.9996144771575928}]"
"UK housing market steadies after Brexit dip, Persimmon says","[{'label': 'NEGATIVE', 'score': 0.9984861016273499}]"
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,"[{'label': 'NEGATIVE', 'score': 0.953544557094574}]"
Morrisons finance chief to fill gap as CEO leaves early,"[{'label': 'NEGATIVE', 'score': 0.9951843619346619}]"
Builder Persimmon hails 6% rise in house sales,"[{'label': 'POSITIVE', 'score': 0.9972220659255981}]"
