Sentence,Sentiment,predicted_sentiment_3_class,confidence_3_class
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,POS,positive,0.9988827109336853
L&G completes UK's largest medically underwritten bulk pension risk deal,POS,positive,0.9973104000091553
Meggitt share price tumbles as profit falls in 'challenging year',NEG,negative,0.9987862706184387
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,POS,neutral,0.9903429746627808
Kingfisher share price slides on cost to implement new strategy,NEG,positive,0.909196138381958
Shire says internal synergy goals from Baxalta deal higher,POS,positive,0.9996479749679565
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",NEG,negative,0.998356282711029
Morrisons and Debenhams surprise City with Christmas bounce back,POS,positive,0.9995763897895813
Morrisons and Debenhams surprise City with Christmas bounce back,POS,positive,0.9995763897895813
"Britain's FTSE falls back with Ashtead, commodities under pressure",NEG,negative,0.9982522130012512
Tesco shares jump 6% after Christmas sales beat expectations,POS,positive,0.9996951818466187
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",POS,neutral,0.9997527003288269
CompaniesHome Retail trims gains but is considered 'in play',POS,positive,0.9996076226234436
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,POS,neutral,0.9998496770858765
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,POS,neutral,0.9998496770858765
Investors Remain Skeptical About Shell-BG Deal,NEG,negative,0.9724704623222351
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,POS,positive,0.9996827840805054
Shire share price under pressure after $32bn Baxalta deal,NEG,negative,0.9978983402252197
Shire share price under pressure after $32bn Baxalta deal,NEG,negative,0.9978983402252197
Valeant Names Interim Leader as CEO Remains Hospitalized,NEU,neutral,0.9998732805252075
Valeant Said to Name New CEO With Pearson Still Hospitalized,POS,neutral,0.9997153878211975
Shares in BAE Systems hit 10-month high on rating upgrade,POS,positive,0.9996057152748108
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,POS,neutral,0.9998558759689331
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,NEG,negative,0.988824188709259
CompaniesDixons Carphone to close 134 UK stores as sales jump,POS,positive,0.9991693496704102
"Broker tips: RBS, Croda, Sage",POS,neutral,0.9998894929885864
"Broker tips: RBS, Croda, Sage",POS,neutral,0.9998894929885864
Shell share price: Standard Life announce position against BG acquisition,NEG,neutral,0.9936864972114563
Shell share price: Standard Life announce position against BG acquisition,NEG,neutral,0.9936864972114563
Tesco share price down as grocer faces SFO investigation outcome,NEG,negative,0.9952616691589355
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",POS,positive,0.9996505975723267
Greene King's third quarter sales boosted by festive season,POS,positive,0.9997096657752991
ARM Royalties Accelerate as Smartphone Market Regains Strength,POS,positive,0.9996373653411865
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,POS,neutral,0.9998689889907837
InterContinental Hotels Group share price climbs on $1.5bn special dividend,POS,positive,0.999639630317688
Amazon to attack UK grocery market with Morrisons deal,POS,negative,0.8207799792289734
AstraZeneca share price: Acerta deal pays off with orphan drug status,POS,positive,0.9995693564414978
"BHP Billiton posts big loss, slashes dividend",NEG,negative,0.9984419941902161
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,POS,neutral,0.9998865127563477
BG Group appoints new CEO one month early,POS,neutral,0.9998722076416016
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",POS,neutral,0.9998846054077148
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",POS,neutral,0.9998846054077148
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,NEG,neutral,0.9998778104782104
BHP Billiton drags FTSE lower after slashing dividend,NEG,negative,0.9985363483428955
"BHP Billiton slashes dividend, posts $5.67 billion net loss",NEG,negative,0.9983826875686646
CompaniesMeggitt profits hit by weak energy and military markets,NEG,negative,0.9987680315971375
Royal Mail share price edges lower as group raises stamp price,NEG,positive,0.9634866118431091
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",NEG,negative,0.9747016429901123
GlaxoSmithKline starts hunt for successor to CEO Witty,NEU,neutral,0.999847412109375
"Rio Tinto swings to loss, drops dividend policy",NEG,negative,0.9975801706314087
France raises concerns over proposed LSE-Deutsche Boerse deal,NEG,negative,0.9668852090835571
MarketsBP promotes upstream boss to deputy CEO,POS,neutral,0.9998087286949158
Legal & General share price: Finance chief to step down,NEG,negative,0.9023401737213135
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,NEG,neutral,0.9997138381004333
Arm profits and sales up as shift away from mobile gains pace,POS,positive,0.9997125267982483
Barclays appoints JPMorgan's Paul Compton as new COO,NEG,neutral,0.9998420476913452
Barclays appoints JPMorgan's Paul Compton as new COO,POS,neutral,0.9998420476913452
U.S. Debt Lures Schroders as ECB Depresses Rates,POS,neutral,0.9968613386154175
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",NEG,negative,0.9540725946426392
NYSE owner ICE considers offer for LSE,POS,neutral,0.9995099306106567
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,POS,negative,0.9788779616355896
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,POS,negative,0.9788779616355896
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),POS,neutral,0.706159234046936
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),POS,neutral,0.706159234046936
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),POS,neutral,0.706159234046936
Intertek swings to Â£347 mln loss on oil's slump,NEG,negative,0.9981142282485962
Sanofi poaches AstraZeneca scientist as new research head,POS,neutral,0.9998252987861633
Tesco breaks its downward slide by cutting sales decline in half,POS,negative,0.9982886910438538
"News FeedSchroders books solid earnings growth, several board changes",POS,positive,0.9996339082717896
Intertek Group announces strategic update outlining its plan,POS,neutral,0.9998524188995361
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,POS,neutral,0.9998706579208374
Tullow Oil Suspends Dividend Amid Oil Price Fall,NEG,negative,0.9962508082389832
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,NEG,neutral,0.8522162437438965
AB InBev to Sell SABMiller Stake in China's Snow Beer,NEG,neutral,0.9994547963142395
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,POS,positive,0.9516453146934509
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,POS,neutral,0.9990515112876892
Industry NewsWolseley confident in reslilience amid mixed markets,POS,positive,0.9995094537734985
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,NEG,negative,0.9657016396522522
FTSE edges up as investors cheer Kingfisher results,POS,positive,0.9995613694190979
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,POS,positive,0.8115767240524292
Britain's FTSE gets lift from Prudential results,POS,positive,0.9996397495269775
Amazon's grocery deal with Morrisons is only the beginning,POS,neutral,0.999862790107727
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",NEG,negative,0.9898894429206848
ICE Said to Start Lining Up Financing for LSE Bidding War,POS,positive,0.9954215884208679
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",NEG,neutral,0.995316743850708
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,POS,neutral,0.973131000995636
Aviva weighs cash handout after beating profit forecast,POS,positive,0.9975920915603638
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",POS,positive,0.9996274709701538
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",NEG,neutral,0.9996882677078247
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",NEG,neutral,0.9996882677078247
AB InBev to sell more SAB assets as seeks EU deal approval,NEG,neutral,0.9961050748825073
Tesco's Sales Pickup Isn't Enough,NEG,positive,0.9049614667892456
Spain's CaixaBank Expects To Close Deal For Banco BPI,POS,positive,0.998847246170044
ITV share price: Group mulls takeover of Canada's Entertainment One,POS,neutral,0.9997848868370056
Entertainment One dispels ITV takeover rumours,POS,neutral,0.9997342228889465
Entertainment One dispels ITV takeover rumours,POS,neutral,0.9997342228889465
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,POS,neutral,0.9995123147964478
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,POS,neutral,0.9995123147964478
Tata Steel working with StanChart for UK unit sale - source,POS,neutral,0.9998809099197388
Tata Steel working with StanChart for UK unit sale - source,POS,neutral,0.9998809099197388
Crown Castle buys Tower Development Corp for $461 million,POS,neutral,0.9998823404312134
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,NEG,neutral,0.9998757839202881
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,POS,neutral,0.9998757839202881
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",POS,neutral,0.9992075562477112
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",POS,positive,0.9968012571334839
Spain's Caixabank launches new takeover bid for Banco BPI,POS,neutral,0.9966673254966736
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",NEG,positive,0.9863072037696838
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,POS,neutral,0.9998435974121094
Shire Sees Baxalta Deal Closing as Expected After New Rules,POS,neutral,0.9996312856674194
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",POS,neutral,0.9998165965080261
Tesco share price steady as analysts weigh in on results,POS,positive,0.9986292123794556
Standard Chartered lags on capital worries,NEG,negative,0.9982151985168457
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,POS,negative,0.9950470924377441
Should You Follow Berkshire Hathaway Into Apple Stock?,NEU,neutral,0.9998738765716553
Morrisons book second consecutive quarter of sales growth,POS,positive,0.9996833801269531
Royal Mail gets mixed bag from Ofcom postal regulation report,NEG,neutral,0.9978534579277039
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,NEG,neutral,0.9984622001647949
Standard Life share price: Insurer buys advice firm Pearson Jones,POS,neutral,0.9998108744621277
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",POS,positive,0.9992600083351135
Retail giant Kingfisher reports 'solid' start to the year,POS,positive,0.9994946718215942
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,POS,neutral,0.9998520612716675
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,POS,neutral,0.9998520612716675
"Berkshire discloses unit's ties to Iran, opens probe",NEG,neutral,0.9996745586395264
Berkshire Hathaway names Kara Raiguel to lead General Re unit,POS,neutral,0.9998266100883484
"European stocks hover near 3-week low, Dialog and BHP slump",NEG,negative,0.9980838298797607
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,POS,positive,0.9996819496154785
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,POS,positive,0.9987657070159912
Australia clears AB Inbev's $100 billion SABMiller buyout plan,POS,positive,0.9493665099143982
Goodwin not to face Scottish prosecution over RBS,POS,neutral,0.9989417195320129
Royal Mail turnaround proving expensive in tough UK market,NEG,negative,0.9974395036697388
Whitbread buys 49% stake in Pure food chain,POS,neutral,0.9998593330383301
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",POS,neutral,0.9998377561569214
Royal Mail share price rallies amid positive broker comments,POS,positive,0.9996337890625
InterContinental Hotels first-quarter global room revenue lags estimates,NEG,negative,0.998297393321991
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,POS,neutral,0.9997473359107971
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,NEG,negative,0.9612347483634949
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,NEU,neutral,0.9998395442962646
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,NEU,neutral,0.9998395442962646
BP joins forces with Det Norske in Norway,POS,neutral,0.9998290538787842
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,POS,neutral,0.9998942613601685
Johnson Matthey revs up on clean air drive,POS,positive,0.9985827207565308
RBS will reportedly appoint Howard Davies as its next chairman,POS,neutral,0.9998774528503418
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",NEG,neutral,0.4977782666683197
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",NEG,neutral,0.4977782666683197
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",NEU,neutral,0.4977782666683197
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,POS,neutral,0.9994953870773315
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,POS,neutral,0.9994953870773315
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,NEG,neutral,0.9157840013504028
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,NEG,neutral,0.9157840013504028
HSBC Hit by Fresh Details of Tax Evasion Claims,NEG,negative,0.9945451021194458
Tesco sales recover as focus returns to core business,POS,positive,0.9996508359909058
Johnson Matthey profit falls but dividend rises,NEU,positive,0.99839848279953
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",POS,neutral,0.5520374178886414
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",NEU,neutral,0.5520374178886414
Priceline's stock jumps to new high for the year after Barclays upgrade,POS,positive,0.9996774196624756
"Tesco set to sell Kipa, Giraffe businesses - Sky News",POS,neutral,0.9998461008071899
"Tesco set to sell Kipa, Giraffe businesses - Sky News",NEG,neutral,0.9998461008071899
Relief for Lewis as Tesco sees sales grow for first time in a year,POS,positive,0.9996845722198486
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,POS,neutral,0.9993360638618469
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,POS,neutral,0.9993360638618469
HSBC Says Unit to Book $585 Million Charge on Settlement,NEG,neutral,0.9708776473999023
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",POS,neutral,0.9959560036659241
Aviva promises higher dividends to boost flagging share price,POS,positive,0.9996771812438965
CompaniesFresnillo shares jump 8% as silver price breaks $21,POS,positive,0.9993320107460022
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",POS,neutral,0.9998598098754883
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",POS,neutral,0.9998598098754883
Berkshire seeks to boost its Wells Fargo stake above 10 percent,POS,positive,0.9996705055236816
Tesco share price tumbles after negative broker note,NEG,negative,0.9986943602561951
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,POS,positive,0.9989049434661865
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,POS,positive,0.9994688630104065
Berkshire applies to boost Wells Fargo stake above 10 percent,POS,positive,0.9995436072349548
"Aviva, M&G suspend property funds as investors panic",NEG,negative,0.9804972410202026
"UK housing market steadies after Brexit dip, Persimmon says",POS,positive,0.9948346614837646
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,POS,positive,0.9992129802703857
Morrisons finance chief to fill gap as CEO leaves early,NEG,neutral,0.9997809529304504
Builder Persimmon hails 6% rise in house sales,POS,positive,0.9996912479400635
EasyJet attracts more passengers in June but still lags Ryanair,POS,negative,0.9978139400482178
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",POS,positive,0.9996165037155151
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,POS,positive,0.917823851108551
Tesco shareholders back ITV head for chairman,POS,neutral,0.892874538898468
"Buffett's Berkshire builds Deere stake, dumps Exxon",NEG,neutral,0.9998341798782349
"Buffett's Berkshire builds Deere stake, dumps Exxon",POS,neutral,0.9998341798782349
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,NEG,negative,0.9966033697128296
AstraZeneca's patent on asthma drug invalidated by US court,NEG,negative,0.7990097999572754
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,NEG,neutral,0.638174295425415
Whitbread share price climbs on Q4 sales growth,POS,positive,0.9997022747993469
Warren Buffett defends Berkshire Hathaway's conglomerate structure,POS,neutral,0.9996402263641357
G4S sees profits rise but UK contract problems remain,POS,positive,0.999431312084198
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,POS,positive,0.9995586276054382
Auto Trader share price surges as company floats on LSE,POS,positive,0.9942975640296936
New Credit Suisse boss faces stiff challenge in Asia,NEG,negative,0.9924023151397705
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",POS,positive,0.9992789626121521
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",POS,positive,0.9992789626121521
Is It Worth Investing In Tesco PLC And Prudential plc Now?,POS,neutral,0.9998216032981873
Insight hires Aviva's David Hillier for multi-asset team,POS,neutral,0.999886155128479
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,POS,neutral,0.9998832941055298
Sainsbury's says to outperform rivals in tough market,POS,positive,0.9995954632759094
CompaniesKingfisher bid for Mr Bricolage runs into trouble,NEG,negative,0.9961866736412048
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,POS,positive,0.9994094371795654
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",POS,negative,0.9918996095657349
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",NEG,negative,0.9918996095657349
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",POS,negative,0.9918996095657349
GSK and Novartis complete deals to reshape both drugmakers,POS,positive,0.9985646605491638
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",POS,neutral,0.9989860653877258
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,POS,neutral,0.9988365769386292
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,POS,neutral,0.9988365769386292
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",POS,positive,0.9993607401847839
British American Tobacco drops and sues PwC over pollution scandal,NEG,negative,0.997408926486969
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,NEG,negative,0.9987654685974121
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",NEG,neutral,0.996239423751831
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",NEG,neutral,0.996239423751831
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,POS,neutral,0.9995161294937134
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,POS,neutral,0.9994891881942749
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,POS,neutral,0.9994891881942749
RBI surprises Street; Sensex pares gains after hitting mount 30k,NEG,positive,0.999624490737915
Credit Suisse poaches Prudential's Thiam for Asian push,NEG,neutral,0.9059213399887085
Credit Suisse poaches Prudential's Thiam for Asian push,POS,neutral,0.9059213399887085
Kingfisher takeover of Mr Bricolage could hit a brick wall,NEG,negative,0.9926290512084961
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",NEG,negative,0.9954730868339539
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,POS,positive,0.9955246448516846
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,POS,neutral,0.9996918439865112
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,POS,neutral,0.9996918439865112
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,POS,neutral,0.9998797178268433
Randgold profit hit by poor gold price but dividend still increases,NEG,positive,0.999603807926178
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",POS,positive,0.9996726512908936
Market Report: Aviva tops the market as traders approve of its choice of Friends,POS,neutral,0.9975959658622742
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,POS,neutral,0.9998675584793091
Primark racks up a happy Christmas after strong sales,POS,positive,0.9996538162231445
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",NEG,neutral,0.9885513186454773
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",POS,neutral,0.9885513186454773
CompaniesDiageo stays neutral on India boardroom turmoil,NEU,neutral,0.9997419714927673
UPDATE 1-Pearson expects to grow this year after solid end to 2014,POS,positive,0.9996627569198608
Germanwings disaster will not affect image of budget air travel - easyJet,POS,neutral,0.9716224074363708
Germanwings disaster will not affect image of budget air travel - easyJet,NEG,neutral,0.9716224074363708
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,NEG,neutral,0.9989504814147949
Tesco sells Blinkbox and broadband service to TalkTalk,POS,neutral,0.9998806715011597
Tesco sells Blinkbox and broadband service to TalkTalk,POS,neutral,0.9998806715011597
Shell offers 50 percent premium to buy BG for $70 billion,POS,positive,0.8675915002822876
WPP boosts sales despite cautious clients,POS,positive,0.9996626377105713
Shell to buy BG Group in $69.7 billion takeover,POS,neutral,0.9998747110366821
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,POS,positive,0.9990938901901245
UPDATE 1-BP shareholders back more disclosure on climate change risks,POS,neutral,0.9934908747673035
Shell challenges Exxon dominance with 47 billion-pound bid for BG,POS,neutral,0.7199329733848572
Shell challenges Exxon dominance with 47 billion-pound bid for BG,NEG,neutral,0.7199329733848572
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,POS,neutral,0.733923077583313
City spirits sink after Diageo comes up short with sales slide,NEG,negative,0.9985392093658447
Diageo receives reports from United Spirits on financial irregularities involving ...,NEG,neutral,0.9998639822006226
Diageo receives reports from United Spirits on financial irregularities involving ...,NEG,neutral,0.9998639822006226
Unilever profit rises despite sales slump in China,POS,positive,0.9996538162231445
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,POS,positive,0.9989070892333984
Tesco sales rise shows tentative recovery continues,POS,positive,0.9996033310890198
Diageo sales disappoint as currency and comparatives leave bitter taste,NEG,negative,0.9983662962913513
Tesco leads leap in FTSE 100; Marks & Spencer drops,POS,positive,0.940281331539154
AstraZeneca profit down as sales of stalwarts fade,NEG,negative,0.9976497292518616
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",POS,positive,0.9996113181114197
Glencore blames rivals for creating metals glut,NEG,negative,0.9970718622207642
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,NEG,positive,0.9874343276023865
easyJet leads Britain's FTSE lower as global bond rout resumes,NEG,negative,0.9979016780853271
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,POS,positive,0.9994841814041138
Royal Dutch Shell profit rises; dividend up 4%,POS,positive,0.9996768236160278
BG Group Still Happy With Shell's $70 Billion Offer,POS,positive,0.9993684887886047
SABMiller buys Meantime to quench thirst for craft beer,POS,neutral,0.9972506165504456
Aviva shuts Friends Life head office in rapid integration move,NEG,neutral,0.9422886371612549
Retailers Kingfisher and Sports Direct rise in Britain's share index,POS,positive,0.9996885061264038
