Sentence,Sentiment,predicted_sentiment_distilbert,confidence_distilbert
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",POS,LABEL_1,0.5177781581878662
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",POS,LABEL_1,0.5177781581878662
StanChart and RBS struggle in Bank of England stress tests,NEG,LABEL_1,0.5126286149024963
StanChart and RBS struggle in Bank of England stress tests,NEG,LABEL_1,0.5126286149024963
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,POS,LABEL_1,0.5176095962524414
Barclays sells benchmark indices unit to Bloomberg,POS,LABEL_1,0.5244259238243103
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",NEG,LABEL_1,0.5108330845832825
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",NEG,LABEL_1,0.5108330845832825
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",NEG,LABEL_1,0.5108330845832825
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",POS,LABEL_1,0.5135529637336731
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",POS,LABEL_1,0.5135529637336731
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,POS,LABEL_1,0.5092126727104187
Shell and BG Shareholders to Vote on Deal at End of January,NEU,LABEL_1,0.5169719457626343
AstraZeneca chases Acerta to secure next cancer drug winner,POS,LABEL_1,0.5241899490356445
CompaniesTesco off to a bad start over Xmas â€“ Kantar,NEG,LABEL_1,0.5150547623634338
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",POS,LABEL_1,0.5143843293190002
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,POS,LABEL_1,0.5042922496795654
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,POS,LABEL_1,0.5224196314811707
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,POS,LABEL_1,0.5130599141120911
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,POS,LABEL_1,0.5130599141120911
Glencore Studies Possible IPO for Agricultural Trading Business,POS,LABEL_1,0.5160558819770813
Can Christmas Save Sainsbury's plc And Tesco plc?,NEG,LABEL_1,0.5115439891815186
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,POS,LABEL_1,0.5177255272865295
Bilfinger Industrial Services win Â£100m BP contract extension,POS,LABEL_1,0.5342726111412048
"Standard Chartered, RBS Escape Capital Raising in Stress Test",POS,LABEL_1,0.5180965065956116
"Standard Chartered, RBS Escape Capital Raising in Stress Test",POS,LABEL_1,0.5180965065956116
AstraZeneca weighing up Acerta bid to secure blood cancer drug,POS,LABEL_1,0.5156915187835693
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,POS,LABEL_1,0.5141273140907288
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,POS,LABEL_1,0.5172249674797058
L&G completes UK's largest medically underwritten bulk pension risk deal,POS,LABEL_1,0.5230145454406738
Meggitt share price tumbles as profit falls in 'challenging year',NEG,LABEL_1,0.5142877101898193
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,POS,LABEL_1,0.5118917226791382
Kingfisher share price slides on cost to implement new strategy,NEG,LABEL_1,0.5135496854782104
Shire says internal synergy goals from Baxalta deal higher,POS,LABEL_1,0.5122262835502625
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",NEG,LABEL_1,0.5108996033668518
Morrisons and Debenhams surprise City with Christmas bounce back,POS,LABEL_1,0.5219027996063232
Morrisons and Debenhams surprise City with Christmas bounce back,POS,LABEL_1,0.5219027996063232
"Britain's FTSE falls back with Ashtead, commodities under pressure",NEG,LABEL_1,0.5139153599739075
Tesco shares jump 6% after Christmas sales beat expectations,POS,LABEL_1,0.5191642642021179
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",POS,LABEL_1,0.5210326910018921
CompaniesHome Retail trims gains but is considered 'in play',POS,LABEL_1,0.5210342407226562
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,POS,LABEL_1,0.5152925848960876
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,POS,LABEL_1,0.5152925848960876
Investors Remain Skeptical About Shell-BG Deal,NEG,LABEL_1,0.5249863266944885
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,POS,LABEL_1,0.5153560638427734
Shire share price under pressure after $32bn Baxalta deal,NEG,LABEL_1,0.5220177173614502
Shire share price under pressure after $32bn Baxalta deal,NEG,LABEL_1,0.5220177173614502
Valeant Names Interim Leader as CEO Remains Hospitalized,NEU,LABEL_1,0.5142590999603271
Valeant Said to Name New CEO With Pearson Still Hospitalized,POS,LABEL_1,0.5110571384429932
Shares in BAE Systems hit 10-month high on rating upgrade,POS,LABEL_1,0.5210525989532471
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,POS,LABEL_1,0.5168266296386719
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,NEG,LABEL_1,0.5113400816917419
CompaniesDixons Carphone to close 134 UK stores as sales jump,POS,LABEL_1,0.5125008225440979
"Broker tips: RBS, Croda, Sage",POS,LABEL_1,0.5210369825363159
"Broker tips: RBS, Croda, Sage",POS,LABEL_1,0.5210369825363159
Shell share price: Standard Life announce position against BG acquisition,NEG,LABEL_1,0.5314387083053589
Shell share price: Standard Life announce position against BG acquisition,NEG,LABEL_1,0.5314387083053589
Tesco share price down as grocer faces SFO investigation outcome,NEG,LABEL_1,0.5211418271064758
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",POS,LABEL_1,0.5110411643981934
Greene King's third quarter sales boosted by festive season,POS,LABEL_1,0.5177374482154846
ARM Royalties Accelerate as Smartphone Market Regains Strength,POS,LABEL_1,0.5127948522567749
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,POS,LABEL_1,0.5252259373664856
InterContinental Hotels Group share price climbs on $1.5bn special dividend,POS,LABEL_1,0.5208945274353027
Amazon to attack UK grocery market with Morrisons deal,POS,LABEL_1,0.5202504992485046
AstraZeneca share price: Acerta deal pays off with orphan drug status,POS,LABEL_1,0.5272698402404785
"BHP Billiton posts big loss, slashes dividend",NEG,LABEL_1,0.5111600756645203
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,POS,LABEL_1,0.5163995027542114
BG Group appoints new CEO one month early,POS,LABEL_1,0.5237259268760681
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",POS,LABEL_1,0.527096688747406
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",POS,LABEL_1,0.527096688747406
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,NEG,LABEL_1,0.5199993252754211
BHP Billiton drags FTSE lower after slashing dividend,NEG,LABEL_1,0.5202441811561584
"BHP Billiton slashes dividend, posts $5.67 billion net loss",NEG,LABEL_1,0.5097653865814209
CompaniesMeggitt profits hit by weak energy and military markets,NEG,LABEL_1,0.5169550776481628
Royal Mail share price edges lower as group raises stamp price,NEG,LABEL_1,0.5174358487129211
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",NEG,LABEL_1,0.5121179819107056
GlaxoSmithKline starts hunt for successor to CEO Witty,NEU,LABEL_1,0.5177813768386841
"Rio Tinto swings to loss, drops dividend policy",NEG,LABEL_1,0.5085824728012085
France raises concerns over proposed LSE-Deutsche Boerse deal,NEG,LABEL_1,0.5199635028839111
MarketsBP promotes upstream boss to deputy CEO,POS,LABEL_1,0.5182510018348694
Legal & General share price: Finance chief to step down,NEG,LABEL_1,0.5061010122299194
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,NEG,LABEL_1,0.5200581550598145
Arm profits and sales up as shift away from mobile gains pace,POS,LABEL_1,0.5132337212562561
Barclays appoints JPMorgan's Paul Compton as new COO,NEG,LABEL_1,0.5269184708595276
Barclays appoints JPMorgan's Paul Compton as new COO,POS,LABEL_1,0.5269184708595276
U.S. Debt Lures Schroders as ECB Depresses Rates,POS,LABEL_1,0.5112927556037903
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",NEG,LABEL_1,0.5109265446662903
NYSE owner ICE considers offer for LSE,POS,LABEL_1,0.5327547788619995
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,POS,LABEL_1,0.5136435031890869
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,POS,LABEL_1,0.5136435031890869
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),POS,LABEL_1,0.5142995715141296
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),POS,LABEL_1,0.5142995715141296
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),POS,LABEL_1,0.5142995715141296
Intertek swings to Â£347 mln loss on oil's slump,NEG,LABEL_1,0.5148040652275085
Sanofi poaches AstraZeneca scientist as new research head,POS,LABEL_1,0.5210183262825012
Tesco breaks its downward slide by cutting sales decline in half,POS,LABEL_1,0.5272185802459717
"News FeedSchroders books solid earnings growth, several board changes",POS,LABEL_1,0.5172737836837769
Intertek Group announces strategic update outlining its plan,POS,LABEL_1,0.5134431719779968
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,POS,LABEL_1,0.5213137865066528
Tullow Oil Suspends Dividend Amid Oil Price Fall,NEG,LABEL_1,0.5202823281288147
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,NEG,LABEL_1,0.5219544172286987
AB InBev to Sell SABMiller Stake in China's Snow Beer,NEG,LABEL_1,0.5100944638252258
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,POS,LABEL_1,0.5130443572998047
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,POS,LABEL_1,0.5168592929840088
Industry NewsWolseley confident in reslilience amid mixed markets,POS,LABEL_1,0.5105017423629761
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,NEG,LABEL_1,0.5154178738594055
FTSE edges up as investors cheer Kingfisher results,POS,LABEL_1,0.5218859910964966
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,POS,LABEL_1,0.5238993167877197
Britain's FTSE gets lift from Prudential results,POS,LABEL_1,0.5150429010391235
Amazon's grocery deal with Morrisons is only the beginning,POS,LABEL_1,0.5139896869659424
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",NEG,LABEL_1,0.5127441883087158
ICE Said to Start Lining Up Financing for LSE Bidding War,POS,LABEL_1,0.5165943503379822
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",NEG,LABEL_1,0.5068219900131226
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,POS,LABEL_0,0.5068944096565247
Aviva weighs cash handout after beating profit forecast,POS,LABEL_1,0.5243406891822815
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",POS,LABEL_1,0.5007356405258179
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",NEG,LABEL_1,0.5009998083114624
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",NEG,LABEL_1,0.5009998083114624
AB InBev to sell more SAB assets as seeks EU deal approval,NEG,LABEL_1,0.5205230116844177
Tesco's Sales Pickup Isn't Enough,NEG,LABEL_1,0.5283696055412292
Spain's CaixaBank Expects To Close Deal For Banco BPI,POS,LABEL_1,0.5128762722015381
ITV share price: Group mulls takeover of Canada's Entertainment One,POS,LABEL_1,0.5009511709213257
Entertainment One dispels ITV takeover rumours,POS,LABEL_1,0.5118345022201538
Entertainment One dispels ITV takeover rumours,POS,LABEL_1,0.5118345022201538
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,POS,LABEL_1,0.5086520910263062
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,POS,LABEL_1,0.5086520910263062
Tata Steel working with StanChart for UK unit sale - source,POS,LABEL_1,0.5195364952087402
Tata Steel working with StanChart for UK unit sale - source,POS,LABEL_1,0.5195364952087402
Crown Castle buys Tower Development Corp for $461 million,POS,LABEL_1,0.5162695050239563
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,NEG,LABEL_1,0.5216652154922485
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,POS,LABEL_1,0.5216652154922485
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",POS,LABEL_1,0.5175277590751648
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",POS,LABEL_1,0.5113895535469055
Spain's Caixabank launches new takeover bid for Banco BPI,POS,LABEL_1,0.512846827507019
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",NEG,LABEL_1,0.5171337127685547
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,POS,LABEL_0,0.505159854888916
Shire Sees Baxalta Deal Closing as Expected After New Rules,POS,LABEL_1,0.5109739899635315
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",POS,LABEL_1,0.5080350637435913
Tesco share price steady as analysts weigh in on results,POS,LABEL_1,0.5245679616928101
Standard Chartered lags on capital worries,NEG,LABEL_1,0.5201878547668457
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,POS,LABEL_1,0.5100228190422058
Should You Follow Berkshire Hathaway Into Apple Stock?,NEU,LABEL_1,0.5199870467185974
Morrisons book second consecutive quarter of sales growth,POS,LABEL_1,0.5052361488342285
Royal Mail gets mixed bag from Ofcom postal regulation report,NEG,LABEL_1,0.5363747477531433
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,NEG,LABEL_1,0.513153612613678
Standard Life share price: Insurer buys advice firm Pearson Jones,POS,LABEL_1,0.5205547213554382
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",POS,LABEL_1,0.5162666440010071
Retail giant Kingfisher reports 'solid' start to the year,POS,LABEL_1,0.5257422924041748
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,POS,LABEL_1,0.527164101600647
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,POS,LABEL_1,0.527164101600647
"Berkshire discloses unit's ties to Iran, opens probe",NEG,LABEL_1,0.5058428049087524
Berkshire Hathaway names Kara Raiguel to lead General Re unit,POS,LABEL_1,0.5235674381256104
"European stocks hover near 3-week low, Dialog and BHP slump",NEG,LABEL_1,0.516859769821167
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,POS,LABEL_1,0.5229302048683167
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,POS,LABEL_1,0.5188280344009399
Australia clears AB Inbev's $100 billion SABMiller buyout plan,POS,LABEL_1,0.5132619142532349
Goodwin not to face Scottish prosecution over RBS,POS,LABEL_1,0.5041064023971558
Royal Mail turnaround proving expensive in tough UK market,NEG,LABEL_1,0.5272448062896729
Whitbread buys 49% stake in Pure food chain,POS,LABEL_1,0.5249332189559937
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",POS,LABEL_1,0.5045815706253052
Royal Mail share price rallies amid positive broker comments,POS,LABEL_1,0.5143356919288635
InterContinental Hotels first-quarter global room revenue lags estimates,NEG,LABEL_1,0.5188615322113037
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,POS,LABEL_1,0.5102398991584778
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,NEG,LABEL_1,0.5233946442604065
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,NEU,LABEL_1,0.5029967427253723
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,NEU,LABEL_1,0.5029967427253723
BP joins forces with Det Norske in Norway,POS,LABEL_1,0.5203865170478821
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,POS,LABEL_1,0.5162415504455566
Johnson Matthey revs up on clean air drive,POS,LABEL_1,0.5201596617698669
RBS will reportedly appoint Howard Davies as its next chairman,POS,LABEL_1,0.516075611114502
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",NEG,LABEL_1,0.5050458908081055
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",NEG,LABEL_1,0.5050458908081055
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",NEU,LABEL_1,0.5050458908081055
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,POS,LABEL_1,0.5338804125785828
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,POS,LABEL_1,0.5338804125785828
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,NEG,LABEL_1,0.5131609439849854
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,NEG,LABEL_1,0.5131609439849854
HSBC Hit by Fresh Details of Tax Evasion Claims,NEG,LABEL_1,0.5216922760009766
Tesco sales recover as focus returns to core business,POS,LABEL_1,0.5177897214889526
Johnson Matthey profit falls but dividend rises,NEU,LABEL_1,0.5181049704551697
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",POS,LABEL_1,0.5119263529777527
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",NEU,LABEL_1,0.5119263529777527
Priceline's stock jumps to new high for the year after Barclays upgrade,POS,LABEL_1,0.5211971998214722
"Tesco set to sell Kipa, Giraffe businesses - Sky News",POS,LABEL_1,0.5182851552963257
"Tesco set to sell Kipa, Giraffe businesses - Sky News",NEG,LABEL_1,0.5182851552963257
Relief for Lewis as Tesco sees sales grow for first time in a year,POS,LABEL_1,0.5145372152328491
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,POS,LABEL_1,0.5026423335075378
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,POS,LABEL_1,0.5026423335075378
HSBC Says Unit to Book $585 Million Charge on Settlement,NEG,LABEL_1,0.522933304309845
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",POS,LABEL_1,0.5080803036689758
Aviva promises higher dividends to boost flagging share price,POS,LABEL_1,0.52171790599823
CompaniesFresnillo shares jump 8% as silver price breaks $21,POS,LABEL_1,0.5292781591415405
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",POS,LABEL_1,0.5237470865249634
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",POS,LABEL_1,0.5237470865249634
Berkshire seeks to boost its Wells Fargo stake above 10 percent,POS,LABEL_1,0.5126616954803467
Tesco share price tumbles after negative broker note,NEG,LABEL_1,0.5273763537406921
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,POS,LABEL_1,0.5201795101165771
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,POS,LABEL_1,0.5237777829170227
Berkshire applies to boost Wells Fargo stake above 10 percent,POS,LABEL_1,0.5215840339660645
"Aviva, M&G suspend property funds as investors panic",NEG,LABEL_1,0.5105997323989868
"UK housing market steadies after Brexit dip, Persimmon says",POS,LABEL_1,0.5014114379882812
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,POS,LABEL_1,0.5183645486831665
Morrisons finance chief to fill gap as CEO leaves early,NEG,LABEL_1,0.5129746794700623
Builder Persimmon hails 6% rise in house sales,POS,LABEL_1,0.5215212106704712
EasyJet attracts more passengers in June but still lags Ryanair,POS,LABEL_1,0.5268695950508118
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",POS,LABEL_1,0.5266398191452026
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,POS,LABEL_1,0.5340319871902466
Tesco shareholders back ITV head for chairman,POS,LABEL_1,0.5205399990081787
"Buffett's Berkshire builds Deere stake, dumps Exxon",NEG,LABEL_1,0.5075699090957642
"Buffett's Berkshire builds Deere stake, dumps Exxon",POS,LABEL_1,0.5075699090957642
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,NEG,LABEL_1,0.512540876865387
AstraZeneca's patent on asthma drug invalidated by US court,NEG,LABEL_0,0.5038941502571106
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,NEG,LABEL_1,0.5062682032585144
Whitbread share price climbs on Q4 sales growth,POS,LABEL_1,0.5180791020393372
Warren Buffett defends Berkshire Hathaway's conglomerate structure,POS,LABEL_1,0.5046262145042419
G4S sees profits rise but UK contract problems remain,POS,LABEL_1,0.5271183252334595
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,POS,LABEL_1,0.5236547589302063
Auto Trader share price surges as company floats on LSE,POS,LABEL_1,0.5248384475708008
New Credit Suisse boss faces stiff challenge in Asia,NEG,LABEL_1,0.5231435894966125
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",POS,LABEL_1,0.5374023914337158
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",POS,LABEL_1,0.5374023914337158
Is It Worth Investing In Tesco PLC And Prudential plc Now?,POS,LABEL_1,0.5152608156204224
Insight hires Aviva's David Hillier for multi-asset team,POS,LABEL_1,0.5252445340156555
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,POS,LABEL_1,0.5125347375869751
Sainsbury's says to outperform rivals in tough market,POS,LABEL_1,0.5262844562530518
CompaniesKingfisher bid for Mr Bricolage runs into trouble,NEG,LABEL_1,0.5287972688674927
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,POS,LABEL_1,0.5159124135971069
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",POS,LABEL_1,0.5225939750671387
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",NEG,LABEL_1,0.5225939750671387
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",POS,LABEL_1,0.5225939750671387
GSK and Novartis complete deals to reshape both drugmakers,POS,LABEL_1,0.5223770141601562
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",POS,LABEL_1,0.519294261932373
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,POS,LABEL_1,0.5023489594459534
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,POS,LABEL_1,0.5023489594459534
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",POS,LABEL_0,0.5065945982933044
British American Tobacco drops and sues PwC over pollution scandal,NEG,LABEL_1,0.503907322883606
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,NEG,LABEL_0,0.5011990070343018
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",NEG,LABEL_0,0.505287766456604
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",NEG,LABEL_0,0.505287766456604
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,POS,LABEL_1,0.504645824432373
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,POS,LABEL_1,0.5097781419754028
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,POS,LABEL_1,0.5097781419754028
RBI surprises Street; Sensex pares gains after hitting mount 30k,NEG,LABEL_1,0.5117152333259583
Credit Suisse poaches Prudential's Thiam for Asian push,NEG,LABEL_1,0.5185477137565613
Credit Suisse poaches Prudential's Thiam for Asian push,POS,LABEL_1,0.5185477137565613
Kingfisher takeover of Mr Bricolage could hit a brick wall,NEG,LABEL_1,0.5271323323249817
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",NEG,LABEL_1,0.5071060657501221
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,POS,LABEL_1,0.515242338180542
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,POS,LABEL_1,0.5094673037528992
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,POS,LABEL_1,0.5094673037528992
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,POS,LABEL_1,0.5271173715591431
Randgold profit hit by poor gold price but dividend still increases,NEG,LABEL_1,0.5116438865661621
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",POS,LABEL_1,0.5163182616233826
Market Report: Aviva tops the market as traders approve of its choice of Friends,POS,LABEL_1,0.5207371115684509
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,POS,LABEL_1,0.513404130935669
Primark racks up a happy Christmas after strong sales,POS,LABEL_1,0.5245347619056702
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",NEG,LABEL_1,0.5154989361763
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",POS,LABEL_1,0.5154989361763
CompaniesDiageo stays neutral on India boardroom turmoil,NEU,LABEL_1,0.5114389657974243
UPDATE 1-Pearson expects to grow this year after solid end to 2014,POS,LABEL_1,0.5178094506263733
Germanwings disaster will not affect image of budget air travel - easyJet,POS,LABEL_1,0.5140016078948975
Germanwings disaster will not affect image of budget air travel - easyJet,NEG,LABEL_1,0.5140016078948975
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,NEG,LABEL_1,0.5182490348815918
Tesco sells Blinkbox and broadband service to TalkTalk,POS,LABEL_1,0.5161954164505005
Tesco sells Blinkbox and broadband service to TalkTalk,POS,LABEL_1,0.5161954164505005
Shell offers 50 percent premium to buy BG for $70 billion,POS,LABEL_1,0.5313770771026611
WPP boosts sales despite cautious clients,POS,LABEL_1,0.5266454815864563
