_id,Sentence,Company,Sentiment,Type,Coarse-Grained Event,Fine-Grained Event,Industry
1057,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,SABMiller,POS,headline,Financial Affairs,Other Financial Affairs,Beverages
1061,Valeant CEO Pledges to Heed Critics After `Painful' Experience,Valeant,NEG,headline,Business Operations,Other Business Operations Affairs,Pharmaceuticals
1063,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Aviva,POS,headline,Business Operations,Other Business Operations Affairs,Insurance
1063,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Direct Line Insurance Group PLC,POS,headline,Business Operations,Other Business Operations Affairs,Insurance
1065,StanChart and RBS struggle in Bank of England stress tests,RBS,NEG,headline,Financing and Investment,Capital Flows,Banks
1065,StanChart and RBS struggle in Bank of England stress tests,Standard Chartered,NEG,headline,Compliance and Credit,Regulatory Inquiries,Banks
107,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,Lloyds,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Banks
1073,Barclays sells benchmark indices unit to Bloomberg,Bloomberg,POS,headline,Financing and Investment,Investment Events,Capital Markets
1077,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Morrisons,NEG,headline,Financial Affairs,Profit Forecast,Consumer Staples Distribution & Retail
1077,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Tesco,NEG,headline,Financial Affairs,Profit Forecast,Consumer Staples Distribution & Retail
1077,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Sainsbury,NEG,headline,Financial Affairs,Other Financial Affairs,Consumer Staples Distribution & Retail
1079,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Shell,POS,headline,Shareholder Affairs,Stock Holding Adjustment,"Oil, Gas & Consumable Fuels"
1079,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Statoil,POS,headline,Shareholder Affairs,Stock Holding Adjustment,"Oil, Gas & Consumable Fuels"
1089,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,AstraZeneca,POS,headline,Business Operations,Initiating Cooperation,Pharmaceuticals
1095,Shell and BG Shareholders to Vote on Deal at End of January,Shell,NEU,headline,Business Operations,Initiating Cooperation,"Oil, Gas & Consumable Fuels"
1109,AstraZeneca chases Acerta to secure next cancer drug winner,AstraZeneca,POS,headline,Shareholder Affairs,Stock Holding Adjustment,Pharmaceuticals
1112,CompaniesTesco off to a bad start over Xmas â€“ Kantar,Tesco,NEG,headline,Stock Affairs,Stock Price Movement,Consumer Staples Distribution & Retail
1117,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",Julius Baer,POS,headline,Shareholder Affairs,Stock Holding Adjustment,Capital Markets
1118,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,Dixons Carphone,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Specialty Retail
1120,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,Wilshire Bancorp,POS,headline,Financing and Investment,Mergers and Acquisitions,Banks
1122,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,ITV,POS,headline,Stock Affairs,Stock Price Movement,Media
1122,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,Comcast,POS,headline,Stock Affairs,Stock Price Movement,Diversified Telecommunication Services
1131,Glencore Studies Possible IPO for Agricultural Trading Business,Glencore,POS,headline,Stock Affairs,Stock Status,Metals & Mining
1132,Can Christmas Save Sainsbury's plc And Tesco plc?,Tesco,NEG,headline,Business Operations,Other Business Operations Affairs,Consumer Staples Distribution & Retail
1133,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,Takeda,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1142,Bilfinger Industrial Services win Â£100m BP contract extension,BP,POS,headline,Business Operations,Initiating Cooperation,"Oil, Gas & Consumable Fuels"
1143,"Standard Chartered, RBS Escape Capital Raising in Stress Test",RBS,POS,headline,Financing and Investment,Capital Flows,Banks
1143,"Standard Chartered, RBS Escape Capital Raising in Stress Test",Standard Chartered,POS,headline,Compliance and Credit,Regulatory Inquiries,Banks
1147,AstraZeneca weighing up Acerta bid to secure blood cancer drug,AstraZeneca,POS,headline,Shareholder Affairs,Stock Holding Adjustment,Pharmaceuticals
115,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,Novartis,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1154,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,Home Retail Group,POS,headline,Financing and Investment,Capital Flows,Specialty Retail
1155,L&G completes UK's largest medically underwritten bulk pension risk deal,L&G,POS,headline,Compliance and Credit,Other Compliance and Credit Affairs,Capital Markets
116,Meggitt share price tumbles as profit falls in 'challenging year',Meggitt,NEG,headline,Stock Affairs,Stock Price Movement,Aerospace & Defense
1160,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,Shire,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1165,Kingfisher share price slides on cost to implement new strategy,Kingfisher,NEG,headline,Stock Affairs,Stock Price Movement,Specialty Retail
1168,Shire says internal synergy goals from Baxalta deal higher,Shire,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Pharmaceuticals
1172,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",BHP,NEG,headline,Business Operations,Other Business Operations Affairs,Metals & Mining
1183,Morrisons and Debenhams surprise City with Christmas bounce back,Morrisons,POS,headline,Stock Affairs,Stock Price Movement,Consumer Staples Distribution & Retail
1183,Morrisons and Debenhams surprise City with Christmas bounce back,Debenhams,POS,headline,Stock Affairs,Stock Price Movement,Specialty Retail
1190,"Britain's FTSE falls back with Ashtead, commodities under pressure",Ashtead,NEG,headline,Stock Affairs,Stock Price Movement,Commercial Services & Supplies
1192,Tesco shares jump 6% after Christmas sales beat expectations,Tesco,POS,headline,Financial Affairs,Other Financial Affairs,Consumer Staples Distribution & Retail
1195,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",UBI,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Banks
1200,CompaniesHome Retail trims gains but is considered 'in play',Home Retail,POS,headline,Stock Affairs,Stock Price Movement,Specialty Retail
1202,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,San Miguel,POS,headline,Business Operations,Initiating Cooperation,Food Products
1202,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,SABMiller,POS,headline,Business Operations,Initiating Cooperation,Beverages
1203,Investors Remain Skeptical About Shell-BG Deal,Shell,NEG,headline,Business Operations,Other Business Operations Affairs,"Oil, Gas & Consumable Fuels"
1210,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,Shire,POS,headline,Shareholder Affairs,Stock Holding Adjustment,Pharmaceuticals
1217,Shire share price under pressure after $32bn Baxalta deal,Baxalta,NEG,headline,Stock Affairs,Stock Price Movement,Pharmaceuticals
1217,Shire share price under pressure after $32bn Baxalta deal,Shire,NEG,headline,Stock Affairs,Stock Price Movement,Pharmaceuticals
1218,Valeant Names Interim Leader as CEO Remains Hospitalized,Valeant,NEU,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Pharmaceuticals
1222,Valeant Said to Name New CEO With Pearson Still Hospitalized,Valeant,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Pharmaceuticals
1223,Shares in BAE Systems hit 10-month high on rating upgrade,BAE,POS,headline,Stock Affairs,Other Stock Affairs,Aerospace & Defense
1224,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,SABMiller,POS,headline,Shareholder Affairs,Stock Holding Adjustment,Beverages
123,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,Astrazeneca,NEG,headline,Stock Affairs,Stock Price Movement,Pharmaceuticals
1230,CompaniesDixons Carphone to close 134 UK stores as sales jump,Dixons Carphone,POS,headline,Financial Affairs,Other Financial Affairs,Specialty Retail
1239,"Broker tips: RBS, Croda, Sage",Sage,POS,headline,Business Operations,Other Business Operations Affairs,Software
1239,"Broker tips: RBS, Croda, Sage",RBS,POS,headline,Business Operations,Other Business Operations Affairs,Banks
1241,Shell share price: Standard Life announce position against BG acquisition,Shell,NEG,headline,Financing and Investment,Mergers and Acquisitions,"Oil, Gas & Consumable Fuels"
1241,Shell share price: Standard Life announce position against BG acquisition,Standard Life,NEG,headline,Financing and Investment,Mergers and Acquisitions,Insurance
1242,Tesco share price down as grocer faces SFO investigation outcome,Tesco,NEG,headline,Stock Affairs,Stock Price Movement,Consumer Staples Distribution & Retail
1243,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",Tesco,POS,headline,Stock Affairs,Stock Price Movement,Consumer Staples Distribution & Retail
1256,Greene King's third quarter sales boosted by festive season,Greene King,POS,headline,Financial Affairs,Other Financial Affairs,Specialty Retail
127,ARM Royalties Accelerate as Smartphone Market Regains Strength,ARM,POS,headline,Business Operations,"Sales, Market Share Changes",Semiconductors & Semiconductor Equipment
128,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,ConAgra,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Food Products
1283,InterContinental Hotels Group share price climbs on $1.5bn special dividend,InterContinental Hotels Group,POS,headline,Shareholder Affairs,Other Shareholder Affairs,"Hotels, Restaurants & Leisure"
1284,Amazon to attack UK grocery market with Morrisons deal,Morrisons,POS,headline,Business Operations,"Sales, Market Share Changes",Consumer Staples Distribution & Retail
1287,AstraZeneca share price: Acerta deal pays off with orphan drug status,AstraZeneca,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1288,"BHP Billiton posts big loss, slashes dividend",BHP Billiton,NEG,headline,Shareholder Affairs,Other Shareholder Affairs,Metals & Mining
1289,Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,LSE,POS,headline,Financing and Investment,Mergers and Acquisitions,Energy Equipment & Services
129,BG Group appoints new CEO one month early,BG Group,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics","Oil, Gas & Consumable Fuels"
1297,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",Centrica PLC,POS,headline,Business Operations,Other Business Operations Affairs,Independent Power and Renewable Electricity Producers
1297,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",John Wood Group PLC,POS,headline,Business Operations,Other Business Operations Affairs,"Oil, Gas & Consumable Fuels"
1311,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,Legal & General Group Plc,NEG,headline,Business Operations,Other Business Operations Affairs,Capital Markets
1313,BHP Billiton drags FTSE lower after slashing dividend,BHP Billiton,NEG,headline,Shareholder Affairs,Other Shareholder Affairs,Metals & Mining
1314,"BHP Billiton slashes dividend, posts $5.67 billion net loss",BHP Billiton,NEG,headline,Shareholder Affairs,Other Shareholder Affairs,Metals & Mining
1315,CompaniesMeggitt profits hit by weak energy and military markets,Meggitt,NEG,headline,Business Operations,"Sales, Market Share Changes",Aerospace & Defense
1316,Royal Mail share price edges lower as group raises stamp price,Royal Mail,NEG,headline,Stock Affairs,Stock Price Movement,Trading Companies & Distributors
132,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",Lonmin,NEG,headline,Financing and Investment,Investment Events,Metals & Mining
1323,GlaxoSmithKline starts hunt for successor to CEO Witty,GlaxoSmithKline,NEU,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Pharmaceuticals
1324,"Rio Tinto swings to loss, drops dividend policy",Rio Tinto,NEG,headline,Shareholder Affairs,Other Shareholder Affairs,Metals & Mining
1327,France raises concerns over proposed LSE-Deutsche Boerse deal,LSE,NEG,headline,Business Operations,Other Business Operations Affairs,Energy Equipment & Services
1334,MarketsBP promotes upstream boss to deputy CEO,BP,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics","Oil, Gas & Consumable Fuels"
1336,Legal & General share price: Finance chief to step down,Legal & General,NEG,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Insurance
1343,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,JP Morgan Chase,NEG,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Banks
1346,Arm profits and sales up as shift away from mobile gains pace,Arm,POS,headline,Financial Affairs,Other Financial Affairs,Semiconductors & Semiconductor Equipment
1349,Barclays appoints JPMorgan's Paul Compton as new COO,JPMorgan,NEG,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Banks
1349,Barclays appoints JPMorgan's Paul Compton as new COO,Barclays,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Banks
135,U.S. Debt Lures Schroders as ECB Depresses Rates,Schroders,POS,headline,Financing and Investment,Capital Flows,Capital Markets
1350,"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",EasyJet,NEG,headline,Compliance and Credit,Legal Affairs,Passenger Airlines
1353,NYSE owner ICE considers offer for LSE,LSE,POS,headline,Business Operations,Other Business Operations Affairs,Energy Equipment & Services
1356,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,ICE,POS,headline,Financing and Investment,Mergers and Acquisitions,Capital Markets
1356,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,LSE,POS,headline,Financing and Investment,Mergers and Acquisitions,Energy Equipment & Services
1360,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Balfour Beatty plc,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Construction & Engineering
1360,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Rival National Grid plc,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Electric Utilities
1360,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Centrica PLC,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Independent Power and Renewable Electricity Producers
1365,Intertek swings to Â£347 mln loss on oil's slump,Intertek,NEG,headline,Stock Affairs,Stock Price Movement,Commercial Services & Supplies
1372,Sanofi poaches AstraZeneca scientist as new research head,Sanofi,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Pharmaceuticals
1373,Tesco breaks its downward slide by cutting sales decline in half,Tesco,POS,headline,Financial Affairs,Other Financial Affairs,Consumer Staples Distribution & Retail
1376,"News FeedSchroders books solid earnings growth, several board changes",Schroders,POS,headline,Financial Affairs,Other Financial Affairs,Capital Markets
1378,Intertek Group announces strategic update outlining its plan,Intertek Group,POS,headline,Business Operations,Other Business Operations Affairs,Professional Services
1379,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,London Stock Exchange,POS,headline,Financing and Investment,Mergers and Acquisitions,Capital Markets
138,Tullow Oil Suspends Dividend Amid Oil Price Fall,Tullow Oil,NEG,headline,Shareholder Affairs,Other Shareholder Affairs,"Oil, Gas & Consumable Fuels"
1380,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,LSE,NEG,headline,Financing and Investment,Mergers and Acquisitions,Energy Equipment & Services
1381,AB InBev to Sell SABMiller Stake in China's Snow Beer,SABMiller,NEG,headline,Stock Affairs,Stock Price Movement,Beverages
1383,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,LSE,POS,headline,Financing and Investment,Mergers and Acquisitions,Energy Equipment & Services
1387,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,RBS,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Banks
1396,Industry NewsWolseley confident in reslilience amid mixed markets,Wolseley,POS,headline,Business Operations,"Sales, Market Share Changes",Building Products
1402,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,Tesco,NEG,headline,Business Operations,Other Business Operations Affairs,Consumer Staples Distribution & Retail
1405,FTSE edges up as investors cheer Kingfisher results,Kingfisher,POS,headline,Stock Affairs,Stock Price Movement,Specialty Retail
1410,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,Barclays,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Banks
1412,Britain's FTSE gets lift from Prudential results,Prudential,POS,headline,Financial Affairs,Other Financial Affairs,Insurance
1415,Amazon's grocery deal with Morrisons is only the beginning,Morrisons,POS,headline,Business Operations,Initiating Cooperation,Consumer Staples Distribution & Retail
142,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",Royal Dutch Shell,NEG,headline,Compliance and Credit,Other Compliance and Credit Affairs,"Oil, Gas & Consumable Fuels"
1425,ICE Said to Start Lining Up Financing for LSE Bidding War,LSE,POS,headline,Business Operations,Other Business Operations Affairs,Energy Equipment & Services
1426,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",Statoil,NEG,headline,Management Affairs,Employee Dynamics,"Oil, Gas & Consumable Fuels"
1431,Merkel's Government Said to Support Deutsche Boerse-LSE Merger,LSE,POS,headline,Financing and Investment,Mergers and Acquisitions,Energy Equipment & Services
1435,Aviva weighs cash handout after beating profit forecast,Aviva,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Insurance
1436,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",WPP,POS,headline,Financial Affairs,Other Financial Affairs,Media
1443,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",Saudi Aramco,NEG,headline,Management Affairs,Employee Dynamics,"Oil, Gas & Consumable Fuels"
1443,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",Shell,NEG,headline,Management Affairs,Employee Dynamics,"Oil, Gas & Consumable Fuels"
1449,AB InBev to sell more SAB assets as seeks EU deal approval,SAB,NEG,headline,Financing and Investment,Mergers and Acquisitions,Beverages
1455,Tesco's Sales Pickup Isn't Enough,Tesco,NEG,headline,Financial Affairs,Other Financial Affairs,Consumer Staples Distribution & Retail
1462,Spain's CaixaBank Expects To Close Deal For Banco BPI,CaixaBank,POS,headline,Business Operations,Initiating Cooperation,Banks
1463,ITV share price: Group mulls takeover of Canada's Entertainment One,ITV,POS,headline,Financing and Investment,Mergers and Acquisitions,Media
1469,Entertainment One dispels ITV takeover rumours,Entertainment One,POS,headline,Business Operations,Other Business Operations Affairs,Entertainment
1469,Entertainment One dispels ITV takeover rumours,ITV,POS,headline,Business Operations,Other Business Operations Affairs,Media
1475,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,Bank BPH,POS,headline,Stock Affairs,Stock Price Movement,Banks
1475,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,GE,POS,headline,Stock Affairs,Stock Price Movement,Aerospace & Defense
1476,Tata Steel working with StanChart for UK unit sale - source,StanChart,POS,headline,Stock Affairs,Stock Status,Banks
1476,Tata Steel working with StanChart for UK unit sale - source,Tata Steel,POS,headline,Business Operations,Initiating Cooperation,Metals & Mining
1487,Crown Castle buys Tower Development Corp for $461 million,Tower Development,POS,headline,Financing and Investment,Mergers and Acquisitions,Real Estate Management & Development
1492,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,Lazada,NEG,headline,Stock Affairs,Stock Price Movement,Interactive Media & Services
1492,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,Tesco,POS,headline,Stock Affairs,Stock Price Movement,Consumer Staples Distribution & Retail
1496,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",CaixaBank,POS,headline,Business Operations,Initiating Cooperation,Banks
1499,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",CaixaBank,POS,headline,Business Operations,Initiating Cooperation,Banks
1503,Spain's Caixabank launches new takeover bid for Banco BPI,Caixabank,POS,headline,Financing and Investment,Mergers and Acquisitions,Banks
1507,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",Tesco,NEG,headline,Financial Affairs,Other Financial Affairs,Consumer Staples Distribution & Retail
1508,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,ITV,POS,headline,Financing and Investment,Mergers and Acquisitions,Media
1516,Shire Sees Baxalta Deal Closing as Expected After New Rules,Shire,POS,headline,Business Operations,Initiating Cooperation,Pharmaceuticals
1517,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",OCBC,POS,headline,Financing and Investment,Mergers and Acquisitions,Banks
1528,Tesco share price steady as analysts weigh in on results,Tesco,POS,headline,Stock Affairs,Stock Price Movement,Consumer Staples Distribution & Retail
153,Standard Chartered lags on capital worries,Standard Chartered,NEG,headline,Compliance and Credit,Other Compliance and Credit Affairs,Banks
1530,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,Lloyds,POS,headline,Stock Affairs,Stock Price Movement,Banks
1545,Should You Follow Berkshire Hathaway Into Apple Stock?,Berkshire Hathaway,NEU,headline,Business Operations,Other Business Operations Affairs,Insurance
1554,Morrisons book second consecutive quarter of sales growth,Morrisons,POS,headline,Financial Affairs,Other Financial Affairs,Consumer Staples Distribution & Retail
1556,Royal Mail gets mixed bag from Ofcom postal regulation report,Royal Mail,NEG,headline,Compliance and Credit,Regulatory Inquiries,Trading Companies & Distributors
1559,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,Barclays,NEG,headline,Shareholder Affairs,Stock Holding Adjustment,Banks
156,Standard Life share price: Insurer buys advice firm Pearson Jones,Standard Life,POS,headline,Business Operations,Other Business Operations Affairs,Insurance
1560,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",SABMiller,POS,headline,Business Operations,Initiating Cooperation,Beverages
1568,Retail giant Kingfisher reports 'solid' start to the year,Kingfisher,POS,headline,Business Operations,Other Business Operations Affairs,Specialty Retail
158,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,Tesco,POS,headline,Management Affairs,Employee Dynamics,Consumer Staples Distribution & Retail
158,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,Dixons Carphone,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Specialty Retail
1581,"Berkshire discloses unit's ties to Iran, opens probe",Berkshire,NEG,headline,Business Operations,Other Business Operations Affairs,Financial Services
1583,Berkshire Hathaway names Kara Raiguel to lead General Re unit,Berkshire,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Financial Services
1585,"European stocks hover near 3-week low, Dialog and BHP slump",Dialog,NEG,headline,Stock Affairs,Other Stock Affairs,Semiconductors & Semiconductor Equipment
1586,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,Hargreaves Lansdown,POS,headline,Business Operations,"Sales, Market Share Changes",Capital Markets
159,MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,MillerCoors,POS,headline,Financial Affairs,Other Financial Affairs,Beverages
1590,Australia clears AB Inbev's $100 billion SABMiller buyout plan,AB InBrev,POS,headline,Financing and Investment,Mergers and Acquisitions,Beverages
1598,Goodwin not to face Scottish prosecution over RBS,RBS,POS,headline,Compliance and Credit,Legal Affairs,Banks
1599,Royal Mail turnaround proving expensive in tough UK market,Royal Mail,NEG,headline,Business Operations,"Sales, Market Share Changes",Trading Companies & Distributors
1604,Whitbread buys 49% stake in Pure food chain,Whitbread,POS,headline,Financing and Investment,Mergers and Acquisitions,"Hotels, Restaurants & Leisure"
1609,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",Standard Chartered,POS,headline,Business Operations,Other Business Operations Affairs,Banks
1611,Royal Mail share price rallies amid positive broker comments,Royal Mail,POS,headline,Stock Affairs,Stock Price Movement,Trading Companies & Distributors
1619,InterContinental Hotels first-quarter global room revenue lags estimates,InterContinental,NEG,headline,Financial Affairs,Other Financial Affairs,"Hotels, Restaurants & Leisure"
1629,Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,AstraZeneca,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1634,London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,London Stock Exchange,NEG,headline,Financing and Investment,Mergers and Acquisitions,Capital Markets
1635,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,Sainsbury,NEU,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Consumer Staples Distribution & Retail
